date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:47:53	149/149	U-----	200	untouched ('OK')	text/plain	etag:%2216537df7f676fbdfdbbca74a1e187a17%22	https://www.air-closet.com/robots.txt		(from )
15:47:53	287125/287125	U--MCZ	200	updated ('OK')	text/html	etag:W/%2246195-rRy2rrxBqrZ0y0QIQJMIWuhkSXY%22	https://www.air-closet.com/	C:/Users/Abo/Desktop/air-closet/www.air-closet.com/index.html	(from )
15:47:53	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2018%20Mar%202021%2008:47:53%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/Abo/Desktop/air-closet/www.googletagmanager.com/gtm.15445.delayed	(from https://www.air-closet.com/)
15:47:53	102524/102524	U--MC-	200	updated ('OK')	application/javascript	date:Thu,%2018%20Mar%202021%2008:47:53%20GMT	https://www.googleoptimize.com/optimize.js?id=GTM-M274G65	C:/Users/Abo/Desktop/air-closet/www.googleoptimize.com/optimize4357.js	(from https://www.air-closet.com/)
15:47:54	459649/459649	U-----	200	untouched ('OK')	text/css	etag:%223729ab3e49cd9902387f420d9edfee69%22	https://www.air-closet.com/assets/stylesheets/style.css	C:/Users/Abo/Desktop/air-closet/www.air-closet.com/assets/stylesheets/style.css	(from https://www.air-closet.com/)
15:47:54	1168780/1168780	---M-Z	200	added ('OK')	text/css	etag:%225739a0eb40eaa98489e027fd7d77215f%22	https://www.air-closet.com/assets/47e226b27740592bb2fd.css	C:/Users/Abo/Desktop/air-closet/www.air-closet.com/assets/47e226b27740592bb2fd.css	(from https://www.air-closet.com/)
15:47:55	21135/21135	---M--	200	added ('OK')	image/png	etag:%2250b557433bcb5f31889c7cc6c1949c64%22	https://cdn-g.assets.air-closet.com/assets/images/index/use_1.png	C:/Users/Abo/Desktop/air-closet/cdn-g.assets.air-closet.com/assets/images/index/use_1.png	(from https://www.air-closet.com/)
15:47:55	26299/26299	---M--	200	added ('OK')	image/png	etag:%22032be26ef562edb6d8c2ece3edc48e29%22	https://cdn-g.assets.air-closet.com/assets/images/index/use_2.png	C:/Users/Abo/Desktop/air-closet/cdn-g.assets.air-closet.com/assets/images/index/use_2.png	(from https://www.air-closet.com/)
15:47:56	34102/34102	---M--	200	added ('OK')	image/png	etag:%225b1b04d6584dfff25aa3bf4d6b5755cf%22	https://cdn-g.assets.air-closet.com/assets/images/index/use_3.png	C:/Users/Abo/Desktop/air-closet/cdn-g.assets.air-closet.com/assets/images/index/use_3.png	(from https://www.air-closet.com/)
15:47:57	23817/23817	---M--	200	added ('OK')	image/png	etag:%225f6c7ec939cd33833192a818898b6dbb%22	https://cdn-g.assets.air-closet.com/assets/images/index/use_4.png	C:/Users/Abo/Desktop/air-closet/cdn-g.assets.air-closet.com/assets/images/index/use_4.png	(from https://www.air-closet.com/)
15:47:57	60843/60843	U-----	200	untouched ('')	image/jpeg	etag:%228749135aa7e883bddd07a66d27688394%22	https://www.air-closet.com/assets/images/index/handling_items_1.jpg	C:/Users/Abo/Desktop/air-closet/www.air-closet.com/assets/images/index/handling_items_1.jpg	(from https://www.air-closet.com/)
