date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:04:27	274402/274402	U--MCZ	200	updated ('OK')	text/html	etag:W/%2242fe2-s3mXysvbgz7oSmp7KyAfQar5bRs%22	https://www.air-closet.com/	C:/Users/Abo/Desktop/air-closet/www.air-closet.com/index.html	(from )
08:04:28	149/149	U-----	200	untouched ('OK')	text/plain	etag:%2216537df7f676fbdfdbbca74a1e187a17%22	https://www.air-closet.com/robots.txt		(from )
08:04:28	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2017%20Mar%202021%2001:04:28%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/Abo/Desktop/air-closet/www.googletagmanager.com/gtm.15445.delayed	(from https://www.air-closet.com/)
08:04:29	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Wed,%2017%20Mar%202021%2001:04:29%20GMT	https://www.air-closet.com/assets/images/quality/sp/q--kvbg-1-ac55752fa7.png	C:/Users/Abo/Desktop/air-closet/www.air-closet.com/assets/images/quality/sp/q--kvbg-1-ac55752fa7.png	(from https://www.air-closet.com/)
08:04:29	102076/102076	U--MC-	200	updated ('OK')	application/javascript	date:Wed,%2017%20Mar%202021%2001:04:29%20GMT	https://www.googleoptimize.com/optimize.js?id=GTM-M274G65	C:/Users/Abo/Desktop/air-closet/www.googleoptimize.com/optimize4357.js	(from https://www.air-closet.com/)
08:04:29	459649/459649	U-----	200	untouched ('OK')	text/css	etag:%223729ab3e49cd9902387f420d9edfee69%22	https://www.air-closet.com/assets/stylesheets/style.css	C:/Users/Abo/Desktop/air-closet/www.air-closet.com/assets/stylesheets/style.css	(from https://www.air-closet.com/)
08:04:29	1168640/1168640	U-----	200	untouched ('OK')	text/css	etag:%2241fc1f12f76f7884d3e3fe6c8c97a501%22	https://www.air-closet.com/assets/459852ac98523b5b7e82.css	C:/Users/Abo/Desktop/air-closet/www.air-closet.com/assets/459852ac98523b5b7e82.css	(from https://www.air-closet.com/)
08:04:30	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Wed,%2017%20Mar%202021%2001:04:29%20GMT	https://www.air-closet.com/assets/images/quality/sp/q--kvbg-1-1-762cce3c2d.png	C:/Users/Abo/Desktop/air-closet/www.air-closet.com/assets/images/quality/sp/q--kvbg-1-1-762cce3c2d.15.delayed	(from https://www.air-closet.com/)
08:05:13	21135/21135	U-----	200	untouched ('')	image/png	etag:%2250b557433bcb5f31889c7cc6c1949c64%22	https://cdn-b.assets.air-closet.com/assets/images/index/use_1.png	C:/Users/Abo/Desktop/air-closet/cdn-b.assets.air-closet.com/assets/images/index/use_1.png	(from https://www.air-closet.com/)
08:05:13	26299/26299	U-----	200	untouched ('')	image/png	etag:%22032be26ef562edb6d8c2ece3edc48e29%22	https://cdn-b.assets.air-closet.com/assets/images/index/use_2.png	C:/Users/Abo/Desktop/air-closet/cdn-b.assets.air-closet.com/assets/images/index/use_2.png	(from https://www.air-closet.com/)
08:05:13	34102/34102	U-----	200	untouched ('')	image/png	etag:%225b1b04d6584dfff25aa3bf4d6b5755cf%22	https://cdn-b.assets.air-closet.com/assets/images/index/use_3.png	C:/Users/Abo/Desktop/air-closet/cdn-b.assets.air-closet.com/assets/images/index/use_3.png	(from https://www.air-closet.com/)
08:05:13	23817/23817	U-----	200	untouched ('')	image/png	etag:%225f6c7ec939cd33833192a818898b6dbb%22	https://cdn-b.assets.air-closet.com/assets/images/index/use_4.png	C:/Users/Abo/Desktop/air-closet/cdn-b.assets.air-closet.com/assets/images/index/use_4.png	(from https://www.air-closet.com/)
08:05:13	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Wed,%2017%20Mar%202021%2001:05:13%20GMT	https://www.air-closet.com/assets/images/quality/sp/q--kvbg-1-2-301ee19190.png	C:/Users/Abo/Desktop/air-closet/www.air-closet.com/assets/images/quality/sp/q--kvbg-1-2-301ee19190.16.delayed	(from https://www.air-closet.com/)
08:05:14	60843/60843	U-----	200	untouched ('')	image/jpeg	etag:%228749135aa7e883bddd07a66d27688394%22	https://www.air-closet.com/assets/images/index/handling_items_1.jpg	C:/Users/Abo/Desktop/air-closet/www.air-closet.com/assets/images/index/handling_items_1.jpg	(from https://www.air-closet.com/)
08:05:14	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Wed,%2017%20Mar%202021%2001:05:14%20GMT	https://www.air-closet.com/assets/bundle.css?v=1615865651448	C:/Users/Abo/Desktop/air-closet/www.air-closet.com/assets/bundle54a5.css	(from https://www.air-closet.com/)
08:05:14	6080/6080	U-----	200	untouched ('')	image/png	etag:%22e2c50f7372101863a6b05e3d2735d478%22	https://cdn-b.assets.air-closet.com/assets/images/later-payment/np.png	C:/Users/Abo/Desktop/air-closet/cdn-b.assets.air-closet.com/assets/images/later-payment/np.png	(from https://www.air-closet.com/)
